SiteName,StreamName,N,W,VPU
SC2,Sycamore Creek,33.86396,-111.4655,15
SC3,Sycamore Creek,33.78711,-111.50788,15
WC1,Workman Creek,33.83373,-110.95091,15
WC2,Workman Creek,33.84628,-110.9681,15
WC3,Workman Creek,33.84776,-110.98302,15
CC2,Carrizo Creek,37.16442,-103.03109,11
CC3,Carrizo Creek,37.13483,-103.01728,11
MC1,Jimmy Creek,34.81536,-98.58271,11
MC2,Jimmy Creek,34.7972,-98.58433,11
MC3,Medicine Creek,34.77091,-98.58141,11
KR1,Upper Kiamichi River,34.67789,-94.46922,11
KR2,Upper Kiamichi River,34.67746,-94.48624,11
KR3,Upper Kiamichi River,34.66721,-94.535,11
SS1,Troublesome Branch,32.9778,-87.4146,03W
SS2,Mayfield Creek,32.9683,-87.408,03W
SS3,South Sandy Creek,32.9661,-87.3919,03W
TC,Terlingua Creek,29.20012,-103.60625,13
